component,explained_variance_ratio,auc_train,auc_test,mutual_information,pearson_r
33,2.825500846165528e-06,0.5404957831683365,0.5319498674644464,0.0,-0.0010304488281237239
34,2.5726358713664967e-06,0.5102812101679468,0.5251861547091367,0.01688818668822223,-0.004368670335019336
35,2.412152942821871e-06,0.5076328945891149,0.5120948316633487,0.0,0.025332944987733193
36,2.1658842788186402e-06,0.5242608161567063,0.5066454756431549,0.011302471163978423,-0.000666498942831913
37,1.986490591867173e-06,0.5191573601378974,0.5094996645365655,0.009900797081917156,0.01759504599830237
38,1.9615668765222196e-06,0.5189014443556537,0.5370434122680627,0.011892425382846517,-0.011611770239085429
39,1.6493536876104845e-06,0.5266301009794144,0.5351411696125122,0.0,0.011602656972819118
40,1.412931204966706e-06,0.5384935861451048,0.5250860656188475,0.0043395569098758635,-0.029644974429768257
41,1.329095513756544e-06,0.5306047757737462,0.5220075011823712,0.012436199782869917,0.04642057568366371
42,1.2037814622329875e-06,0.5180010610873724,0.5451665768431241,0.0,-0.01557157747944564
43,1.180465377660057e-06,0.5268348336052094,0.5176140300707223,0.016080306587269,-0.0025359481357846514
44,1.030027126781516e-06,0.5258684075544138,0.5276234890396947,0.007664374631739301,-0.005526645946956852
45,9.839370620563465e-07,0.5003417713995126,0.5459161451401797,0.011333733993340367,-0.030493369744397054
46,8.868283763851813e-07,0.5100550136378346,0.5019137913967378,0.0,0.006447064332432671
47,8.068064922577305e-07,0.5448067257969713,0.528897150210627,0.015400875629771438,0.024814353998036654
48,7.969382168446028e-07,0.5436058478682491,0.5535685610268481,0.0045486656729685215,-0.030412828451416712
49,7.437366960170914e-07,0.504634552262956,0.5175216401412246,0.014687191400734045,0.019773631490651887
50,7.178709844426128e-07,0.5253378638682138,0.5170536411531144,0.006408636445572435,-0.02582060747380995
51,6.246314330591557e-07,0.5042553566200185,0.5008821038506803,0.0,-0.02330730601275909
52,5.885616028341527e-07,0.5150819701002309,0.5309632750030246,0.010091949473554296,-0.030143795301924455
53,5.566836243358624e-07,0.5253940002333513,0.5009046513929982,0.018400515935482753,0.021538932997842944
54,5.02825507063419e-07,0.5116978278528831,0.503567461146735,0.009736374867671538,0.00746900579282376
55,4.920853984361432e-07,0.5605557280005988,0.576052860238234,0.014504490932479852,0.022956838480180417
56,4.579277800940841e-07,0.5403840607945828,0.5835529427292425,0.026854359298341235,0.018500882767431306
57,4.438673180163235e-07,0.5037209604381718,0.5182541602965276,0.0018244066212211862,-0.020210985750777385
58,3.9836239722603804e-07,0.5132300204072198,0.5026006665273485,0.011195058630476984,0.010409442756335362
59,3.6329739493162586e-07,0.534890952358938,0.5127212133877408,0.0,0.033468752727786155
60,3.52652852265838e-07,0.5049201872973312,0.5025126761183031,0.003515321672888261,0.002675845919086985
61,3.1408160098378906e-07,0.535987262548679,0.5211259472717473,0.020012185327090037,0.031848694814646035
62,3.080348968473491e-07,0.5115074044966329,0.5125199353270493,0.0,-0.012562635541417707
63,2.9253296648441227e-07,0.5656333172629229,0.6094292722093292,0.020842989513370158,-0.04867409896720051
64,2.6641202130355563e-07,0.549540342233699,0.5277455757322451,0.013061334633445387,-0.033797684179502
65,2.5697684976236265e-07,0.5409146044807827,0.536209153202301,0.005188223094011901,0.028956959175143182
66,2.4570161253922425e-07,0.5027842536395077,0.5127206634476842,0.010176112208209798,0.02459278476858461
67,2.3743724353914237e-07,0.5028073686133877,0.5070529812250464,0.0,0.00016272138279303994
68,2.2340497738310806e-07,0.507846983275766,0.500325564513468,0.012216439575876814,-0.003832232068317844
69,2.032551801270008e-07,0.5265095729013255,0.530165311980994,0.021454461058402874,-0.021865119869847224
