idx,ch4_med,o3_med,p_pos,ret_label,ncall,minutes,true_label
5641,-8.747067074015886,-11.479667569917849,0.0,0,7242,40.084456793467204,0
5715,-9.368360047795317,-10.093622249190272,0.0,0,6896,32.8920889377594,0
5759,-6.3697240460626965,-9.33477661505275,5.704023661461836e-27,0,7033,40.419796379407245,1
5851,-7.595107072041784,-9.358135928543701,4.2299753006975195e-110,0,14747,91.9550459822019,1
5928,-6.102406513689066,-9.530765500070627,2.0481953770318877e-131,0,6294,37.348307339350384,1
5970,-8.877875895764525,-9.077007899332575,0.0,0,9445,50.46858672300974,0
5974,-8.317741485313292,-8.82863382158814,0.0,0,8481,43.11611235936483,0
6105,-9.280408678061903,-3.776355855853841,0.002812011781309906,0,6366,35.510587569077806,0
6251,-10.338558824769208,-7.564460529355138,0.0,0,5939,34.56595233678818,0
6332,-5.782251217585531,-10.279261922745878,5.015656833301507e-70,0,9840,63.640392355124156,0
6334,-4.767648326039082,-5.686266163019703,0.9999996729992404,1,6520,32.71444241205851,1
6504,-7.11061646541314,-7.877107263374365,0.0,0,8812,54.905613191922505,1
6651,-6.170730788718036,-9.27248352927901,0.0,0,6368,49.79420996507009,1
6883,-3.5753978812083305,-1.5738900341833006,0.9999999999999999,1,13033,74.10275689363479,1
6910,-8.329302342415335,-10.34905972552121,1.5899823359871494e-220,0,6949,46.856060294310254,0
6978,-6.3605650882620735,-10.053444665244951,4.181505283445345e-248,0,10659,60.38739644686381,1
7042,-7.170568023932278,-2.4626778155914053,2.3321258423751455e-30,0,5733,28.702454356352487,0
7061,-6.952127182103546,-9.836853130764526,0.0,0,9381,63.83293650150299,0
7080,-6.284135970047642,-9.052022753185787,1.0721248678920675e-77,0,5747,44.9731392343839,1
7105,-11.150007200403873,-8.385727184563192,0.0,0,6575,45.48057514826457,0
7106,-6.004853446983456,-7.434908523252861,0.0033827156598284047,0,14324,67.72890997727713,1
7191,-10.723287522872074,-5.5734426637320444,7.774407832610596e-111,0,5153,35.54830920298894,0
7249,-11.012847658787349,-7.644763494048817,0.0,0,5231,41.670359265804294,0
7267,-9.14515980897524,-8.906751635293775,0.0,0,8346,49.61578547557195,0
7429,-8.102455333244345,-9.061971380855256,0.0,0,9190,53.26475627819697,1
7495,-5.25763937873125,-6.789675797367372,0.795986285800498,1,10250,57.87103042999903,1
7504,-6.9410315330458,-9.262295185655972,0.0,0,7870,46.587670993804934,0
7509,-9.791140417769578,-10.927887754538666,3.7163929266542635e-169,0,4339,33.621970518430075,0
7529,-7.987810930296232,-9.569734148186946,0.0,0,9421,49.39497530062993,0
7574,-6.5268578125231835,-10.00640693467794,5.815112495114021e-72,0,8620,44.74708058039347,1
7597,-9.3268095996642,-9.968021085196078,0.0,0,6051,26.606920488675435,0
7730,-6.673804546722317,-9.789866386622476,0.0,0,7062,29.125969449679058,1
7784,-6.60315618456856,-8.92539715504484,6.350644276429177e-128,0,9596,32.414816399415336,1
8059,-6.813025737292552,-9.239717451213773,3.5264179604016244e-260,0,11263,34.27703745365143,1
8090,-7.306020152532858,-11.109766584581743,1.93e-322,0,5506,23.295134774843852,0
8385,-7.035753525354383,-8.762218285637315,1.8819503944490703e-130,0,8862,26.828703208764395,1
8458,-6.90778440424404,-11.34384525668336,9.512760077402138e-102,0,6499,23.00891193548838,0
8793,-6.261847168306579,-1.1621883908708897,0.4318370860625042,0,15013,32.468477221330005,1
