mean_pred,observed,n,lo,hi,model
0.1804673969745636,0.22822491730981256,907,0.2020911100133546,0.2566512223526682,norm_mlp
0.42398563027381897,0.4520396912899669,907,0.4199193931950596,0.48456454781070896,norm_mlp
0.5618341565132141,0.5622932745314223,907,0.5298107962901087,0.5942502918288354,norm_mlp
0.7870221734046936,0.7563395810363837,907,0.7273579417892775,0.7831589252488551,norm_mlp
0.9786390662193298,0.9768467475192943,907,0.9648638273322723,0.984807333932211,norm_mlp
0.9990748763084412,0.9988974641675854,907,0.9937812368464045,0.9998053538407137,norm_mlp
0.9999524354934692,1.0,907,0.9957823621582501,0.9999999999999999,norm_mlp
0.04672056436538696,0.003303964757709251,908,0.0011242483030280285,0.009668854358662334,pcaw_mlp
0.28290480375289917,0.05947136563876652,908,0.0458645436588872,0.07679009284815524,pcaw_mlp
0.5108498334884644,0.17089305402425578,907,0.14779605185557415,0.19676616401159747,pcaw_mlp
0.586764395236969,0.3031973539140022,907,0.2741653146917333,0.3338894777112487,pcaw_mlp
0.6063473224639893,0.48401323042998895,907,0.45162551738968754,0.5165357962789018,pcaw_mlp
0.6198603510856628,0.5931642778390298,907,0.5608659137598608,0.6246767755507723,pcaw_mlp
0.6431514620780945,0.6802646085997794,907,0.6492068925800134,0.7098017429500281,pcaw_mlp
0.7192639708518982,0.8103638368246968,907,0.783562561563195,0.8345471075603935,pcaw_mlp
0.864325761795044,0.9095920617420066,907,0.8891611026599171,0.9265679988655291,pcaw_mlp
0.9740635752677917,0.9944873208379272,907,0.9871603873608448,0.9976431174417466,pcaw_mlp
0.04568898305296898,0.004405286343612335,908,0.0017143955712014608,0.011272070499221298,pca_mlp
0.3027189075946808,0.07048458149779736,908,0.05558197396536535,0.08900629662900106,pca_mlp
0.519935667514801,0.21389195148842338,907,0.1884412142780457,0.2417560889632643,pca_mlp
0.5634541511535645,0.3947078280044101,907,0.3634052891869598,0.4268985353199576,pca_mlp
0.5771744251251221,0.4101433296582139,907,0.37857706333378555,0.44246756176897645,pca_mlp
0.6003276109695435,0.5446527012127894,907,0.5121218997021929,0.5768068448786431,pca_mlp
0.6525473594665527,0.701212789415656,907,0.6706257558126032,0.7301025376689418,pca_mlp
0.7495501637458801,0.7563395810363837,907,0.7273579417892775,0.7831589252488551,pca_mlp
0.8793343305587769,0.9151047409040793,907,0.8951681266302637,0.9315398322508414,pca_mlp
0.9712794423103333,0.9977949283351709,907,0.9919957251634057,0.9993950940525809,pca_mlp
