idx,ch4_med,o3_med,p_pos,ret_label,ncall,minutes,true_label
3490,-7.114366627199362,-2.6330461270635457,3.5796629655918374e-33,0,13987,84.98377861579259,0
3643,-4.3477947665476915,-1.4187143643231164,1.0,1,15080,99.85806168715159,1
3907,-5.215141587103449,-5.845313125354454,0.9999993977161842,1,11452,67.93565936485926,1
3915,-6.52141658156895,-10.343020960955204,2.1007926129038526e-49,0,9143,57.48834538062413,0
3923,-7.2650318810792704,-2.356452077684872,2.919054505519034e-26,0,15032,81.53588435649871,0
3975,-7.372712408632728,-7.305211403781683,0.19568718123391132,0,11226,64.23913339376449,1
4041,-4.907554832560924,-5.581841813014311,0.999999999997601,1,11442,63.93271074295044,1
4095,-3.704700005501369,-1.5497519674777258,1.0,1,15042,78.17712973356247,1
4112,-5.638128167656988,-1.8329059120253381,0.9999920286528391,1,8778,50.91257236003876,1
4128,-7.450458460373153,-5.9368092793447005,0.18131703521307982,0,7930,52.704290294647215,0
4263,-7.754077943565292,-8.60680444198128,0.054330971133571215,0,4557,29.049979893366494,0
4543,-3.0777944224764475,-10.06758580383691,2.6832493600970763e-08,0,8783,44.39465162356694,0
4568,-4.119703396488022,-3.196727191390551,0.9999999964485203,1,14733,83.49011766513189,1
4680,-5.916334232529168,-6.60281930153298,0.7037476951872736,1,9859,49.4863292614619,1
4811,-3.725063615776764,-2.399136754113392,1.0,1,9701,54.19292331139247,1
4980,-3.39390106400812,-6.208769899916484,0.999971381070599,1,9832,58.52174369096756,1
4988,-5.671978438382174,-8.486275236939164,0.21115726559924433,0,9592,52.92990407148997,0
5065,-8.417920018253598,-3.9425932286715417,0.09881595742963808,0,8483,44.27393754323324,1
5120,-3.5926334212833764,-9.076731794045727,0.1906219715746099,0,13880,75.36703666845958,0
5641,-6.690035595076011,-9.34216754397703,5.615367888037748e-93,0,7496,34.54523665904999,0
5715,-6.6220857823194486,-8.205339603957219,5.465279715206997e-153,0,10145,55.88138544559479,0
5759,-3.772527187826027,-2.9843115745052984,0.9999999999999999,1,5505,33.84629650115967,1
5851,-3.634109980022521,-2.059889286422045,1.0000000000000002,1,15001,70.53289318084717,1
5928,-2.944305521245606,-3.8255349375215073,0.9999992130712853,1,6703,34.83738325834274,1
5970,-7.382988111176579,-4.2731226481925795,7.364885126095648e-19,0,12628,59.643173019091286,0
5974,-7.267432450124321,-4.963281802237909,3.674920076527012e-37,0,6643,39.76764004230499,0
6105,-8.829038275158524,-2.555283943403051,0.0629838789345828,0,8979,48.525551740328474,0
6251,-10.225257853027871,-5.8131004683764855,1.4895508119730715e-87,0,5379,25.314686886469524,0
6332,-3.7734258444364257,-10.370556194305532,9.315226124955233e-15,0,9139,43.22638582785924,0
6334,-3.241581700022672,-2.5291391483243313,1.0,1,8216,38.24184129238129,1
6504,-5.52751744255877,-4.643154518938958,0.9999987951258154,1,8446,42.288942535718284,1
6651,-3.911310968077516,-5.897900268942618,0.9999999576435115,1,7263,35.13959005276362,1
6883,-3.1105375245859967,-1.7731116879442157,1.0,1,15093,72.62826912005742,1
6910,-8.769300890829198,-9.83883856040054,1.2595323707880297e-05,0,6900,41.73157916069031,0
6978,-3.5803150452965395,-5.598119191127469,0.9999995602372405,1,7650,36.2505348443985,1
7042,-6.431812444722541,-1.8457430500909864,0.0010826717899245749,0,8857,47.39234801530838,0
7061,-6.319082839103065,-6.289244859214335,0.00023253383523769516,0,7737,42.77117718458176,0
7080,-3.045147048751803,-5.240509823710235,1.0,1,5294,26.817247692743937,1
7105,-8.04572578170848,-4.850818271511163,1.5963214303109676e-112,0,9057,52.43890606164932,0
7106,-5.257249352663025,-5.980922911578443,0.9999999000983698,1,8706,50.213176027933756,1
7191,-8.372394746069958,-2.623930407540619,0.028206634843127115,0,15002,64.36436638434728,0
7249,-8.323947380698483,-2.627184316823655,2.893203017999101e-88,0,9258,43.08033351898193,0
7267,-8.546416951954335,-5.024928761706142,2.820686379888373e-145,0,7578,36.2947957833608,0
7429,-5.75245292291759,-4.675877737404317,0.9978227565283425,1,8336,43.56115311384201,1
7495,-3.610145064565023,-3.2999868684893325,0.9999999999999999,1,14406,49.71472523212433,1
7504,-9.98088062452581,-2.1254660123741544,3.176218717218093e-187,0,8471,37.83328811724981,0
7509,-8.289773262747447,-8.689717208272093,0.02006991450976143,0,4222,19.11863880554835,0
7529,-7.600193530219456,-6.6084542984897725,2.480640238129928e-74,0,7605,34.26485330263774,0
7574,-3.7264270892154308,-1.6044074473339762,1.0,1,15658,46.44300261338552,1
7597,-7.091601656853433,-6.7938693245902915,2.4452330186140705e-42,0,8521,33.65166994730632,0
7730,-5.458135053913071,-6.714388917924876,0.9467859132926,1,6363,27.7378395875295,1
7784,-4.883493400685633,-4.484125322119366,1.0,1,6613,28.626556018988293,1
8059,-5.877714360607946,-4.071860659494711,0.927838917114632,1,6811,30.584422437349954,1
8090,-6.8340743355671965,-10.035475819445121,4.1614065261523453e-153,0,6427,26.593906887372334,0
8385,-4.717829165966067,-6.0644352513756985,0.9999999999997563,1,15003,38.1740726073583,1
8458,-3.085245727854858,-9.971278345426825,2.97587092861026e-09,0,6230,23.7335223197937,0
8793,-7.60368303933862,-4.9188448544085555,0.25177158322879556,0,7905,24.223270523548127,1
