threshold,molecule,model,base_rate,clean,haze3e7,cloud1e2,absorbers,spots10,spots20,noise_x2,noise_x3,clean_coverage,haze3e7_coverage,cloud1e2_coverage,absorbers_coverage,spots10_coverage,spots20_coverage,noise_x2_coverage,noise_x3_coverage
1e-5,NH3,RFC,0.5744234800838575,0.790356394129979,0.42662473794549266,0.5849056603773585,0.7851153039832285,0.6184486373165619,0.5513626834381551,0.6614255765199162,0.539832285115304,,,,,,,,
1e-5,NH3,SVC,0.5744234800838575,0.7819706498951782,0.42557651991614254,0.6373165618448637,0.7861635220125787,0.6509433962264151,0.5670859538784067,0.6729559748427673,0.5859538784067087,,,,,,,,
1e-4,CH4,KNN,0.6236897274633124,0.8459119496855346,0.7327044025157232,0.8322851153039832,0.839622641509434,0.8291404612159329,0.7976939203354297,0.790356394129979,0.7253668763102725,,,,,,,,
1e-4,CH4,MLP,0.6236897274633124,0.8637316561844863,0.6236897274633124,0.7306079664570231,0.860587002096436,0.7746331236897275,0.7159329140461216,0.7641509433962265,0.7243186582809225,,,,,,,,
1e-4,CH4,RFC,0.6236897274633124,0.8259958071278826,0.6708595387840671,0.709643605870021,0.8312368972746331,0.7610062893081762,0.7316561844863732,0.7138364779874213,0.6677148846960168,,,,,,,,
1e-4,CH4,SVC,0.6236897274633124,0.859538784067086,0.6236897274633124,0.7431865828092243,0.8574423480083857,0.7872117400419287,0.7337526205450734,0.7547169811320755,0.6970649895178197,,,,,,,,
1e-4,H2O,KNN,0.6184486373165619,0.6876310272536688,0.6331236897274634,0.6656184486373166,0.689727463312369,0.6970649895178197,0.6698113207547169,0.6572327044025157,0.6446540880503144,,,,,,,,
1e-4,H2O,MLP,0.6184486373165619,0.7756813417190775,0.6184486373165619,0.6939203354297694,0.7714884696016772,0.740041928721174,0.6918238993710691,0.7117400419287212,0.6719077568134172,,,,,,,,
1e-4,H2O,RFC,0.6184486373165619,0.7547169811320755,0.6184486373165619,0.6645702306079665,0.7536687631027253,0.689727463312369,0.6582809224318659,0.6865828092243187,0.6477987421383647,,,,,,,,
1e-4,H2O,SVC,0.6184486373165619,0.7767295597484277,0.6184486373165619,0.6844863731656184,0.7746331236897275,0.7253668763102725,0.6802935010482181,0.6907756813417191,0.660377358490566,,,,,,,,
1e-4,CO2,KNN,0.5953878406708595,0.7872117400419287,0.7274633123689728,0.7809224318658281,0.7924528301886793,0.7683438155136268,0.7610062893081762,0.7337526205450734,0.69916142557652,,,,,,,,
1e-4,CO2,MLP,0.5953878406708595,0.8081761006289309,0.5953878406708596,0.7180293501048218,0.8144654088050315,0.740041928721174,0.6813417190775681,0.7211740041928721,0.6771488469601677,,,,,,,,
1e-4,CO2,RFC,0.5953878406708595,0.7767295597484277,0.6226415094339622,0.7023060796645703,0.7788259958071279,0.710691823899371,0.6802935010482181,0.6530398322851153,0.629979035639413,,,,,,,,
1e-4,CO2,SVC,0.5953878406708595,0.8092243186582809,0.5953878406708596,0.7264150943396226,0.8144654088050315,0.7379454926624738,0.6844863731656184,0.6834381551362684,0.6477987421383647,,,,,,,,
1e-4,NH3,KNN,0.610062893081761,0.8071278825995807,0.6362683438155137,0.7526205450733753,0.810272536687631,0.7651991614255765,0.7159329140461216,0.7274633123689728,0.6844863731656184,,,,,,,,
1e-4,NH3,MLP,0.610062893081761,0.859538784067086,0.610062893081761,0.7023060796645703,0.8584905660377359,0.7389937106918238,0.6960167714884696,0.7683438155136268,0.720125786163522,,,,,,,,
1e-4,NH3,RFC,0.610062893081761,0.8490566037735849,0.610062893081761,0.660377358490566,0.8480083857442348,0.7127882599580713,0.6687631027253669,0.6981132075471698,0.640461215932914,,,,,,,,
1e-4,NH3,SVC,0.610062893081761,0.859538784067086,0.610062893081761,0.70020964360587,0.859538784067086,0.7348008385744235,0.6918238993710691,0.7536687631027253,0.6876310272536688,,,,,,,,
1e-3,CH4,KNN,0.790356394129979,0.850104821802935,0.8144654088050315,0.8542976939203354,0.8490566037735849,0.8469601677148847,0.839622641509434,0.8333333333333334,0.8144654088050315,,,,,,,,
1e-3,CH4,MLP,0.790356394129979,0.8742138364779874,0.790356394129979,0.8029350104821803,0.8721174004192872,0.8417190775681341,0.8176100628930818,0.8259958071278826,0.8123689727463312,,,,,,,,
1e-3,CH4,RFC,0.790356394129979,0.839622641509434,0.7987421383647799,0.8050314465408805,0.8375262054507338,0.8259958071278826,0.8165618448637316,0.8092243186582809,0.79979035639413,,,,,,,,
1e-3,CH4,SVC,0.790356394129979,0.8721174004192872,0.790356394129979,0.8060796645702306,0.8710691823899371,0.8364779874213837,0.8249475890985325,0.8207547169811321,0.8018867924528302,,,,,,,,
1e-3,H2O,KNN,0.8270440251572327,0.8385744234800838,0.8280922431865828,0.8343815513626834,0.8385744234800838,0.8354297693920335,0.839622641509434,0.8333333333333334,0.8228511530398323,,,,,,,,
1e-3,H2O,MLP,0.8270440251572327,0.8731656184486373,0.8259958071278826,0.8406708595387841,0.8752620545073375,0.8637316561844863,0.8480083857442348,0.8427672955974843,0.8301886792452831,,,,,,,,
1e-3,H2O,RFC,0.8270440251572327,0.8532494758909853,0.8270440251572327,0.8322851153039832,0.8542976939203354,0.8448637316561844,0.8301886792452831,0.8322851153039832,0.8291404612159329,,,,,,,,
