case,score,accuracy_all,coverage,accuracy_accepted,accuracy_declined,auroc_error,auroc_shift
haze_3p0e7,mahalanobis,0.9296805678793256,0.27107364685004437,0.9067103109656302,0.9382227632379793,0.3445023021391038,0.8999871395936949
haze_3p0e7,pca_recon,0.9296805678793256,0.3087843833185448,0.9166666666666666,0.9354942233632862,0.4053260818021493,0.8868771769442315
haze_3p0e7,knn,0.9296805678793256,0.36612688553682343,0.8827627991517721,0.9567804024496938,0.32668452828541256,0.8554301989207396
haze_2p4e8,margin,0.9127107364685004,0.7915927240461402,0.9694549530615104,0.6971793507184673,0.8597367632337551,0.7429222986405317
haze_2p4e8,ensemble,0.9127107364685004,0.2036379769299024,0.934640522875817,0.9071030640668524,0.4501555922333126,0.9438263259086284
haze_2p4e8,mahalanobis,0.9127107364685004,0.03593611357586513,0.9104938271604939,0.912793373216751,0.4134056223820582,0.9868756810331865
haze_2p4e8,pca_recon,0.9127107364685004,0.06765749778172138,0.9245901639344263,0.9118486795146324,0.46484084936544035,0.9739425951025448
haze_2p4e8,knn,0.9127107364685004,0.055346051464063885,0.8697394789579158,0.9152283667958201,0.3810151379901526,0.980354333103173
tlse_spots10,margin,0.8936335403726708,0.8990683229813664,0.927707870713052,0.5901098901098901,0.8362236712019148,0.5448359231621355
tlse_spots10,ensemble,0.8936335403726708,0.7484472049689441,0.9671013633669235,0.6750440917107583,0.8631123164036013,0.6553751626803261
tlse_spots10,mahalanobis,0.8936335403726708,0.5082076308784383,0.9426014840680925,0.8430311231393776,0.7094862296957949,0.7434858117758116
tlse_spots10,pca_recon,0.8936335403726708,0.6062555456965395,0.938163190633004,0.8250704225352112,0.6912157292223046,0.698733172476969
tlse_spots10,knn,0.8936335403726708,0.5195208518189884,0.9436379163108455,0.8395660203139428,0.7049826037449802,0.7465285760344027
tlse_spots20,margin,0.8612466725820763,0.8620230700976043,0.8975810602161606,0.6342443729903537,0.783444795998359,0.5963252982078985
tlse_spots20,ensemble,0.8612466725820763,0.6366459627329193,0.9599303135888502,0.6883394383394383,0.8096739607669949,0.7535341267501174
tlse_spots20,mahalanobis,0.8612466725820763,0.33695652173913043,0.9476629361421988,0.8173302107728337,0.742682814469609,0.835847837601535
tlse_spots20,pca_recon,0.8612466725820763,0.42812777284826975,0.9404145077720207,0.801978277734678,0.7202564542055989,0.796857051527837
tlse_spots20,knn,0.8612466725820763,0.32786157941437444,0.949255751014885,0.8183168316831684,0.7333524809257551,0.8492230292159301
tlse_mixed,margin,0.898070097604259,0.9011756876663709,0.932923076923077,0.5802469135802469,0.8435272645613718,0.5397283772455397
tlse_mixed,ensemble,0.898070097604259,0.7616459627329193,0.9679627202562983,0.6747324336900884,0.8673409447984,0.6409738695833258
tlse_mixed,mahalanobis,0.898070097604259,0.5361579414374446,0.9414563508481588,0.8479196556671449,0.7004059725770624,0.7294836784295139
tlse_mixed,pca_recon,0.898070097604259,0.6339840283939663,0.9371938418474458,0.8303030303030303,0.6823963737828986,0.6834394134375328
tlse_mixed,knn,0.898070097604259,0.5454747116237799,0.9414396095973974,0.8460224499755978,0.6931350465916325,0.7306316794396475
exotransmit,margin,0.9009538598047915,0.9143744454303461,0.9398350315380883,0.4857512953367875,0.9134682338552041,0.5256491478916708
exotransmit,ensemble,0.9009538598047915,0.7487799467613132,0.9728929047548511,0.6865342163355408,0.8904647594191157,0.6124890414674415
exotransmit,mahalanobis,0.9009538598047915,0.5280612244897959,0.8764965343415249,0.9283196239717979,0.4518011772800582,0.8016891148458148
exotransmit,pca_recon,0.9009538598047915,0.5288376220053239,0.899748322147651,0.902306967984934,0.5182681887480546,0.7922250171045618
exotransmit,knn,0.9009538598047915,0.6531721384205856,0.869247750042452,0.9606651742884554,0.36595380735635297,0.7371637669283986
exomol,margin,0.8510425909494232,0.6546140195208519,0.9466282616062351,0.6698779704560052,0.8307664001349269,0.6345326439282939
exomol,ensemble,0.8510425909494232,0.44043921916592726,0.9662553512969025,0.7603567888999009,0.768174738101197,0.7094842457931438
exomol,mahalanobis,0.8510425909494232,0.03460514640638864,0.8685897435897436,0.8504136029411764,0.6773122801821552,0.9790827595071053
exomol,pca_recon,0.8510425909494232,0.1540594498669033,0.9200863930885529,0.8384685984004195,0.7208002958610027,0.9516357688864676
exomol,knn,0.8510425909494232,0.1356477373558119,0.856909239574816,0.8501219042730656,0.5394492820314806,0.9479966208156809
quenched,margin,0.9823646850044365,0.9784826974267968,0.9888914078440263,0.6855670103092784,0.9048111041758535,0.4426758399146858
quenched,ensemble,0.9823646850044365,0.9568544809228039,0.9880607395386577,0.8560411311053985,0.8439375315548303,0.48712729794572046
quenched,mahalanobis,0.9823646850044365,0.7657497781721384,0.9803012746234068,0.9891098484848485,0.4181669191053092,0.5760959246068706
quenched,pca_recon,0.9823646850044365,0.8006876663708962,0.9812993489402965,0.986644407345576,0.45092855524855796,0.5759382634559167
quenched,knn,0.9823646850044365,0.7738464951197871,0.9805073813960155,0.988719960765081,0.4135591150232592,0.5809908383321694
compound_spots20_haze3e7,margin,0.8604702750665484,0.8105590062111802,0.9021620142309797,0.6820843091334894,0.7375790045538919,0.7131959566213354
compound_spots20_haze3e7,ensemble,0.8604702750665484,0.3195430346051464,0.9576535925026033,0.8148329258353708,0.6423472401021193,0.9306321075457689
compound_spots20_haze3e7,mahalanobis,0.8604702750665484,0.010314995563442769,0.978494623655914,0.8592401658634988,0.6691639093713613,0.9939588321343739
compound_spots20_haze3e7,pca_recon,0.8604702750665484,0.06821206743566992,0.959349593495935,0.8532317581240328,0.6602341047202518,0.9758472490786368
compound_spots20_haze3e7,knn,0.8604702750665484,0.007431233362910381,0.9850746268656716,0.8595373784780422,0.6181006651526646,0.9962742711567092
absorbers,margin,0.7168367346938775,0.8569210292812778,0.7332384157390629,0.6186046511627907,0.6809171178322669,0.5056378869784093
absorbers,ensemble,0.7168367346938775,0.7627551020408163,0.8034026465028355,0.4385226741467976,0.8444353980011804,0.5997307593854639
absorbers,mahalanobis,0.7168367346938775,0.6136867790594499,0.9439725284655702,0.3560149296583405,0.9039796815025709,0.7204476006964646
absorbers,pca_recon,0.7168367346938775,0.5977151730257321,0.9454444238263129,0.3771712158808933,0.9078554299174686,0.7054428132890438
absorbers,knn,0.7168367346938775,0.6528393966282166,0.9274549779136935,0.32076677316293933,0.8875028113569913,0.696144409839473
absorbers_quenched,margin,0.6721384205856256,0.9137089618456078,0.6908230152949746,0.474293059125964,0.8106782312196036,0.46176858561217016
absorbers_quenched,ensemble,0.6721384205856256,0.7668589174800355,0.8080705814289847,0.22502378686964797,0.9163236266116462,0.6080435715092719
