variant,molecule,classifier,case,accuracy,recall,called_present
B ir_stats,H2O,MLP,compound,0.618848167539267,0.0,0.0
B ir_stats,H2O,MLP,white_x2,0.7109947643979058,0.40384615384615385,0.2157068062827225
B ir_stats,H2O,MLP,corr_x2,0.675392670157068,0.28296703296703296,0.15916230366492146
B ir_stats,H2O,MLP,exomol,0.7465968586387435,0.5631868131868132,0.30157068062827225
B ir_stats,H2O,MLP,exotransmit,0.7549738219895288,0.5439560439560439,0.27853403141361255
B ir_stats,H2O,MLP,absorbers,0.7863874345549738,0.6016483516483516,0.29109947643979056
B ir_stats,H2O,RFC,clean,0.7507853403141361,0.37362637362637363,0.15287958115183245
B ir_stats,H2O,RFC,haze2e6,0.6335078534031413,0.038461538461538464,0.014659685863874346
B ir_stats,H2O,RFC,haze3e7,0.6272251308900524,0.02197802197802198,0.008376963350785341
B ir_stats,H2O,RFC,haze2p4e8,0.6198952879581152,0.0027472527472527475,0.0010471204188481676
B ir_stats,H2O,RFC,haze1e10,0.618848167539267,0.0,0.0
B ir_stats,H2O,RFC,cloud1e3,0.7099476439790576,0.2445054945054945,0.09528795811518324
B ir_stats,H2O,RFC,cloud1e2,0.6659685863874345,0.12362637362637363,0.04712041884816754
B ir_stats,H2O,RFC,spots10,0.6869109947643979,0.18956043956043955,0.07643979057591622
B ir_stats,H2O,RFC,spots20,0.6649214659685864,0.12637362637362637,0.050261780104712044
B ir_stats,H2O,RFC,compound,0.6261780104712041,0.019230769230769232,0.007329842931937173
B ir_stats,H2O,RFC,white_x2,0.6910994764397905,0.21978021978021978,0.09528795811518324
B ir_stats,H2O,RFC,corr_x2,0.6774869109947644,0.1978021978021978,0.09214659685863874
B ir_stats,H2O,RFC,exomol,0.7277486910994765,0.32967032967032966,0.1424083769633508
B ir_stats,H2O,RFC,exotransmit,0.7287958115183246,0.3159340659340659,0.13089005235602094
B ir_stats,H2O,RFC,absorbers,0.749738219895288,0.37362637362637363,0.15392670157068064
B ir_stats,H2O,SVC,clean,0.7842931937172775,0.5,0.2157068062827225
B ir_stats,H2O,SVC,haze2e6,0.6345549738219896,0.04945054945054945,0.02198952879581152
B ir_stats,H2O,SVC,haze3e7,0.618848167539267,0.0,0.0
B ir_stats,H2O,SVC,haze2p4e8,0.618848167539267,0.0,0.0
B ir_stats,H2O,SVC,haze1e10,0.618848167539267,0.0,0.0
B ir_stats,H2O,SVC,cloud1e3,0.7413612565445026,0.35714285714285715,0.14973821989528796
B ir_stats,H2O,SVC,cloud1e2,0.6795811518324607,0.18406593406593408,0.07958115183246073
B ir_stats,H2O,SVC,spots10,0.7225130890052356,0.28846153846153844,0.1162303664921466
B ir_stats,H2O,SVC,spots20,0.6785340314136126,0.16758241758241757,0.06806282722513089
B ir_stats,H2O,SVC,compound,0.618848167539267,0.0,0.0
B ir_stats,H2O,SVC,white_x2,0.7026178010471205,0.25824175824175827,0.1130890052356021
B ir_stats,H2O,SVC,corr_x2,0.6848167539267016,0.27472527472527475,0.14345549738219895
B ir_stats,H2O,SVC,exomol,0.7570680628272252,0.45054945054945056,0.20523560209424083
B ir_stats,H2O,SVC,exotransmit,0.749738219895288,0.40934065934065933,0.181151832460733
B ir_stats,H2O,SVC,absorbers,0.7853403141361257,0.5,0.21465968586387435
B ir_stats,CO2,KNN,clean,0.7801047120418848,0.6761658031088082,0.362303664921466
B ir_stats,CO2,KNN,haze2e6,0.7769633507853403,0.572538860103627,0.28167539267015707
B ir_stats,CO2,KNN,haze3e7,0.7183246073298429,0.344559585492228,0.15602094240837697
B ir_stats,CO2,KNN,haze2p4e8,0.6732984293193718,0.21243523316062177,0.09424083769633508
B ir_stats,CO2,KNN,haze1e10,0.6073298429319371,0.03367875647668394,0.015706806282722512
B ir_stats,CO2,KNN,cloud1e3,0.7727748691099476,0.6217616580310881,0.3256544502617801
B ir_stats,CO2,KNN,cloud1e2,0.7654450261780105,0.5647668393782384,0.2869109947643979
B ir_stats,CO2,KNN,spots10,0.7633507853403141,0.5647668393782384,0.28900523560209423
B ir_stats,CO2,KNN,spots20,0.7476439790575916,0.4896373056994819,0.24397905759162303
B ir_stats,CO2,KNN,compound,0.6628272251308901,0.16580310880829016,0.06701570680628273
B ir_stats,CO2,KNN,white_x2,0.7361256544502618,0.4948186528497409,0.25968586387434556
B ir_stats,CO2,KNN,corr_x2,0.669109947643979,0.41968911917098445,0.26596858638743454
B ir_stats,CO2,KNN,exomol,0.7507853403141361,0.5025906735751295,0.2513089005235602
B ir_stats,CO2,KNN,exotransmit,0.7560209424083769,0.5958549222797928,0.32146596858638743
B ir_stats,CO2,KNN,absorbers,0.7832460732984293,0.655440414507772,0.3424083769633508
B ir_stats,CO2,MLP,clean,0.831413612565445,0.7642487046632125,0.38219895287958117
B ir_stats,CO2,MLP,haze2e6,0.6586387434554973,0.17098445595854922,0.07539267015706806
B ir_stats,CO2,MLP,haze3e7,0.5947643979057592,0.0,0.0010471204188481676
B ir_stats,CO2,MLP,haze2p4e8,0.5958115183246073,0.0025906735751295338,0.0020942408376963353
B ir_stats,CO2,MLP,haze1e10,0.5968586387434555,0.0051813471502590676,0.0031413612565445027
B ir_stats,CO2,MLP,cloud1e3,0.7895287958115184,0.6139896373056994,0.30261780104712044
B ir_stats,CO2,MLP,cloud1e2,0.7350785340314137,0.44041450777202074,0.21675392670157068
B ir_stats,CO2,MLP,spots10,0.7455497382198953,0.44041450777202074,0.20628272251308902
B ir_stats,CO2,MLP,spots20,0.6795811518324607,0.23056994818652848,0.10261780104712041
B ir_stats,CO2,MLP,compound,0.5958115183246073,0.0,0.0
B ir_stats,CO2,MLP,white_x2,0.7214659685863875,0.41968911917098445,0.2136125654450262
B ir_stats,CO2,MLP,corr_x2,0.6952879581151833,0.39896373056994816,0.22303664921465968
B ir_stats,CO2,MLP,exomol,0.7821989528795812,0.5544041450777202,0.2617801047120419
B ir_stats,CO2,MLP,exotransmit,0.7832460732984293,0.6373056994818653,0.32774869109947646
B ir_stats,CO2,MLP,absorbers,0.8439790575916231,0.7538860103626943,0.3612565445026178
B ir_stats,CO2,RFC,clean,0.7842931937172775,0.5310880829015544,0.24083769633507854
B ir_stats,CO2,RFC,haze2e6,0.7005235602094241,0.26424870466321243,0.10890052356020942
B ir_stats,CO2,RFC,haze3e7,0.6157068062827226,0.04922279792746114,0.019895287958115182
B ir_stats,CO2,RFC,haze2p4e8,0.5989528795811518,0.007772020725388601,0.0031413612565445027
B ir_stats,CO2,RFC,haze1e10,0.5958115183246073,0.0,0.0
B ir_stats,CO2,RFC,cloud1e3,0.7465968586387435,0.4170984455958549,0.18638743455497384
B ir_stats,CO2,RFC,cloud1e2,0.7015706806282722,0.27461139896373055,0.1162303664921466
B ir_stats,CO2,RFC,spots10,0.7120418848167539,0.32642487046632124,0.14764397905759163
B ir_stats,CO2,RFC,spots20,0.6712041884816754,0.20984455958549222,0.09424083769633508
B ir_stats,CO2,RFC,compound,0.612565445026178,0.04145077720207254,0.016753926701570682
B ir_stats,CO2,RFC,white_x2,0.650261780104712,0.16321243523316062,0.0774869109947644
B ir_stats,CO2,RFC,corr_x2,0.6481675392670158,0.18911917098445596,0.10052356020942409
B ir_stats,CO2,RFC,exomol,0.7162303664921466,0.3290155440414508,0.14554973821989528
B ir_stats,CO2,RFC,exotransmit,0.7172774869109948,0.34196891191709844,0.1549738219895288
B ir_stats,CO2,RFC,absorbers,0.7790575916230367,0.5103626943005182,0.2293193717277487
B ir_stats,CO2,SVC,clean,0.8261780104712042,0.6502590673575129,0.29528795811518327
B ir_stats,CO2,SVC,haze2e6,0.6785340314136126,0.20984455958549222,0.08691099476439791
B ir_stats,CO2,SVC,haze3e7,0.5958115183246073,0.0,0.0
B ir_stats,CO2,SVC,haze2p4e8,0.5958115183246073,0.0,0.0
B ir_stats,CO2,SVC,haze1e10,0.5958115183246073,0.0,0.0
