case,axis,in_range,score,accuracy_all,coverage,accuracy_accepted,clean_selective_same_coverage,auroc_error,credit
haze_1p0e10,aero,False,mahalanobis,0.665927240461402,0.04225820763087844,0.910761154855643,0.963254593175853,0.6131979410804483,-0.05249343832021003
haze_1p0e10,aero,False,knn,0.665927240461402,0.06555013309671695,0.9153976311336718,0.9813874788494078,0.6282351163854464,-0.06598984771573602
tlse_spots02,spots,True,margin,0.9467613132209406,0.8989574090505768,0.9784083898827884,0.981122763726095,0.9185618263823805,-0.002714373843306528
tlse_spots02,spots,True,ensemble,0.9467613132209406,0.8903061224489796,0.9679830571820107,0.9697271707985549,0.8699256579975007,-0.0017441136165441407
tlse_spots02,spots,True,mahalanobis,0.9467613132209406,0.8601375332741792,0.9439071566731141,0.9463571889103803,0.4875822496875976,-0.002450032237266253
tlse_spots02,spots,True,knn,0.9467613132209406,0.8641304347826086,0.9432678731870107,0.9444230522397639,0.47982832513277096,-0.0011551790527531969
tlse_spots05,spots,True,margin,0.940550133096717,0.8935226264418811,0.9750496524329693,0.9821251241310824,0.9159950542100816,-0.007075471698113178
tlse_spots05,spots,True,ensemble,0.940550133096717,0.8744454303460515,0.9666412988330797,0.9713343480466768,0.8698254012954098,-0.004693049213597145
tlse_spots05,spots,True,mahalanobis,0.940550133096717,0.8260869565217391,0.9379699248120301,0.9450859291084855,0.5046639590960293,-0.007116004296455425
tlse_spots05,spots,True,knn,0.940550133096717,0.7985803016858918,0.9411111111111111,0.9406944444444445,0.5201149324134047,0.0004166666666666208
tlse_spots10,spots,True,margin,0.9292369121561668,0.8875332741792369,0.9677580604848788,0.9833791552111972,0.9139446422972243,-0.015621094726318452
tlse_spots10,spots,True,ensemble,0.9292369121561668,0.8478260869565217,0.9632391418105704,0.9739665096807953,0.8672349435863895,-0.01072736787022499
tlse_spots10,spots,True,mahalanobis,0.9292369121561668,0.8041259982253771,0.926344827586207,0.944,0.5025226541224928,-0.017655172413792997
tlse_spots10,spots,True,knn,0.9292369121561668,0.7211623779946761,0.9378652722239311,0.9364810827437712,0.5839837655121527,0.0013841894801599475
