case,score,accuracy_all,coverage,accuracy_accepted,accuracy_declined,auroc_error,auroc_shift
haze_2p4e8,mahalanobis,0.49900177462289264,0.0027728482697426796,0.88,0.4979423868312757,0.5598708059149542,0.9988174429526449
haze_2p4e8,pca_recon,0.49900177462289264,0.8533717834960071,0.5022095139069405,0.48033282904689867,0.5151774558614678,0.6855117853678643
haze_2p4e8,knn,0.49900177462289264,0.0014418811002661935,0.8461538461538461,0.49850049983338884,0.5266974192429942,0.9993578039120435
tlse_spots10,margin,0.7892635314995563,0.9680567879325643,0.7997250229147571,0.4722222222222222,0.6779710289636401,0.43776581330518405
tlse_spots10,ensemble,0.7892635314995563,0.7407941437444543,0.8820182662075161,0.524176294394523,0.8153152273601372,0.6460764147775541
tlse_spots10,mahalanobis,0.7892635314995563,0.38354037267080743,0.9091960670908039,0.7146455559553797,0.7405391852312062,0.8358071675199921
tlse_spots10,pca_recon,0.7892635314995563,0.9220275066548358,0.8053650908216047,0.5988620199146515,0.6730402576846839,0.548039620877092
tlse_spots10,knn,0.7892635314995563,0.35215173025732033,0.911496062992126,0.7228214346858415,0.7441982485725274,0.8426396674077987
tlse_spots20,margin,0.7076308784383318,0.979148181011535,0.7111463525147259,0.5425531914893618,0.6359427994824495,0.4192546399322431
tlse_spots20,ensemble,0.7076308784383318,0.625,0.862111801242236,0.4501626737651583,0.8243096550772759,0.7325296534840161
tlse_spots20,mahalanobis,0.7076308784383318,0.19066104702750666,0.9208842350203607,0.6573934493627518,0.755436183825593,0.9186644378248193
tlse_spots20,pca_recon,0.7076308784383318,0.9858030168589175,0.7098334833483348,0.5546875,0.6489102242402044,0.5254984557670914
tlse_spots20,knn,0.7076308784383318,0.17369121561668147,0.9259259259259259,0.661744966442953,0.7470616636777487,0.9230541494210431
tlse_mixed,margin,0.8051242236024845,0.9640638864241349,0.8175333640128855,0.4722222222222222,0.6902771689304028,0.4423296275417694
