axis,case,n,accuracy,precision,recall,f1,brier,ece,auc,pos_rate,flips_bad,flips_good,amp_ratio,control_accuracy,control_brier,d_acc,d_brier
baseline offset,x2.0,9016,0.9647293700088732,0.9511197243755384,0.9798136645962733,0.9652534965034965,0.026351851928734776,0.010277355819078663,0.9943817714578598,0.5150842945874001,0,0,1.0,,,0.0,0.0
absolute noise,20 ppm,9016,0.9316770186335404,0.9102023608768971,0.9578527062999113,0.9334198011240813,0.05038180388722952,0.02106845101968237,0.9858425305618563,0.5261756876663709,455,157,1.0,,,-3.30523513753328,0.024029951958494746
absolute noise,50 ppm,9016,0.9130434782608695,0.8943244387971199,0.936779059449867,0.9150595882990249,0.06391486903790237,0.028668005472958828,0.9779486473421205,0.5237355811889973,623,157,1.0,,,-5.168589174800364,0.037563017109167596
absolute noise,100 ppm,9016,0.8890860692102928,0.8664855829502717,0.9199201419698314,0.8924037013126749,0.07845629092210563,0.04080678574034881,0.9681043470781315,0.5308340727595386,828,146,1.0,,,-7.564330079858039,0.05210443899337085
absolute noise,200 ppm,9016,0.8565882874889086,0.8345473465140478,0.8895297249334516,0.8611618168152045,0.10043614155175569,0.05746511623447955,0.9508638738663552,0.532941437444543,1118,143,1.0,,,-10.814108251996457,0.07408428962302091
noise colouring,white snr15,9016,0.9431011535048802,0.935659760087241,0.9516415261756876,0.9435829759155394,0.0435243954887358,0.024328043387507985,0.9869473642047383,0.5085403726708074,335,140,1.0,,,-2.1628216503992936,0.017172543560001027
noise colouring,ariel snr15,9016,0.9635093167701864,0.9502262443438914,0.9782608695652174,0.9640397857689365,0.027738411912733445,0.009379635898994643,0.9935583806841667,0.514751552795031,168,157,1.0,,,-0.12200532386867913,0.0013865599839986698
noise colouring,exosim snr15,9016,0.9637311446317658,0.9508302781971102,0.978039041703638,0.9642427556041553,0.02781359145939681,0.009045710844926988,0.9934596702382199,0.5143078970718722,167,158,1.0,,,-0.09982253771073646,0.0014617395306620352
noise colouring,white snr10,9016,0.9305678793256433,0.9258446687143485,0.9361135758651287,0.9309508052062652,0.05339432632594911,0.03125546528235625,0.9823226863176889,0.5055456965394853,443,135,1.0,,,-3.4161490683229823,0.02704247439721433
noise colouring,ariel snr10,9016,0.9547471162377995,0.9458460200086994,0.9647293700088732,0.9551943773336262,0.03348762337767952,0.012168585230061407,0.9913149569846842,0.5099822537710736,241,151,1.0,,,-0.9982253771073646,0.007135771448944745
noise colouring,exosim snr10,9016,0.9543034605146407,0.945993031358885,0.963620230700976,0.9547252747252747,0.03395308777974653,0.013150074939209585,0.9912013858434852,0.5093167701863354,240,146,1.0,,,-1.04259094942325,0.0076012358510117554
noise colouring,white snr7,9016,0.9055013309671694,0.9130140081337551,0.8964063886424135,0.9046339825386165,0.07105456593930028,0.042985182770462996,0.9718124349967601,0.490905057675244,673,139,1.0,,,-5.922803904170371,0.0447027140105655
noise colouring,ariel snr7,9016,0.9322315882874889,0.9304174950298211,0.9343389529724934,0.9323741007194245,0.04929789711785272,0.02754382795683166,0.9843863054461399,0.5021073646850044,435,142,1.0,,,-3.249778172138429,0.022946045189117945
noise colouring,exosim snr7,9016,0.9322315882874889,0.9319441365550876,0.9325643300798581,0.9322541301696419,0.04961267296264215,0.02730166182781166,0.9841667903417683,0.5003327417923691,434,141,1.0,,,-3.249778172138429,0.023260821033907374
