case,axis,in_range,score,accuracy_all,coverage,accuracy_accepted,clean_selective_same_coverage,auroc_error,credit
haze_2p0e5,aero,True,mahalanobis,0.8771073646850045,0.9067213842058562,0.8753516819571865,0.877308868501529,0.4282306086785031,-0.001957186544342515
haze_2p0e5,aero,True,knn,0.8771073646850045,0.8904170363797693,0.8796711509715994,0.8835326357747882,0.5579192299896463,-0.0038614848031888194
haze_2p0e6,aero,True,margin,0.8740017746228926,0.8781055900621118,0.9090564607805987,0.9190349880005052,0.8213143789769071,-0.009978527219906552
haze_2p0e6,aero,True,ensemble,0.8740017746228926,0.9074977817213842,0.9000244439012466,0.9073576142752383,0.7918575060770715,-0.0073331703739917264
haze_2p0e6,aero,True,mahalanobis,0.8740017746228926,0.8351818988464951,0.8629482071713147,0.8762284196547144,0.4306119074855223,-0.013280212483399723
haze_2p0e6,aero,True,knn,0.8740017746228926,0.7670807453416149,0.8700115673799884,0.8854829381145171,0.5185771832773289,-0.015471370734528644
haze_3p0e7,aero,True,margin,0.6932120674356699,0.65905057675244,0.7532817233254796,0.9675193537529452,0.6578809833694865,-0.21423763042746558
haze_3p0e7,aero,True,ensemble,0.6932120674356699,0.8698979591836735,0.7072548769603468,0.9172510518934082,0.596649255242227,-0.20999617493306133
haze_3p0e7,aero,True,mahalanobis,0.6932120674356699,0.7284826974267968,0.6788976857490865,0.8713459196102314,0.46196396240057847,-0.19244823386114496
haze_3p0e7,aero,True,knn,0.6932120674356699,0.6357586512866016,0.6725401256106072,0.8911374738311235,0.46420708604483013,-0.21859734822051635
haze_2p4e8,aero,True,margin,0.6052573203194321,0.46528393966282167,0.6586412395709178,0.9825983313468415,0.5763426009667758,-0.3239570917759237
haze_2p4e8,aero,True,ensemble,0.6052573203194321,0.7137311446317658,0.6130536130536131,0.9494949494949495,0.5225180512920164,-0.33644133644133645
haze_2p4e8,aero,True,mahalanobis,0.6052573203194321,0.4089396628216504,0.5798752373203147,0.8548955790615677,0.48685879122494535,-0.275020341741253
haze_2p4e8,aero,True,knn,0.6052573203194321,0.59849157054126,0.6037805782060786,0.8930689399555226,0.4902161078184481,-0.28928836174944406
haze_1p0e10,aero,False,margin,0.5017746228926353,0.4555235137533274,0.5149744338933528,0.9829559289018749,0.5146671742986648,-0.46798149500852204
haze_1p0e10,aero,False,ensemble,0.5017746228926353,0.46850044365572313,0.5163352272727273,0.9741950757575758,0.513592934250732,-0.4578598484848485
haze_1p0e10,aero,False,mahalanobis,0.5017746228926353,0.02129547471162378,0.6145833333333333,0.703125,0.5043703296478345,-0.08854166666666674
haze_1p0e10,aero,False,knn,0.5017746228926353,0.10170807453416149,0.5234460196292257,0.9498364231188658,0.5069329953319114,-0.4263904034896402
tlse_spots02,spots,True,margin,0.8782165039929015,0.9045031055900621,0.9106069895769466,0.9104843654199878,0.8403582646534997,0.00012262415695885043
tlse_spots02,spots,True,ensemble,0.8782165039929015,0.9104924578527063,0.901815081008649,0.9064441466682909,0.793781524745214,-0.004629065659641829
tlse_spots02,spots,True,mahalanobis,0.8782165039929015,0.8468278615794144,0.8788474132285528,0.8760969220694171,0.4558417771226106,0.002750491159135615
tlse_spots02,spots,True,knn,0.8782165039929015,0.8273070097604259,0.8876525003351656,0.883764579702373,0.5766690545302465,0.0038879206327926408
tlse_spots05,spots,True,margin,0.8649068322981366,0.8694543034605147,0.9077688480673556,0.9220563847429519,0.8323477010441396,-0.014287536675596346
tlse_spots05,spots,True,ensemble,0.8649068322981366,0.908717834960071,0.889539851092396,0.9072378860002441,0.7891666045480906,-0.01769803490784816
tlse_spots05,spots,True,mahalanobis,0.8649068322981366,0.790927240461402,0.864955826672276,0.8736502594306549,0.459164722039376,-0.00869443275837889
tlse_spots05,spots,True,knn,0.8649068322981366,0.7631987577639752,0.8754541491062345,0.8856270890858887,0.5456420976116565,-0.010172939979654183
tlse_spots10,spots,True,margin,0.8493788819875776,0.8041259982253771,0.9071724137931034,0.9419310344827586,0.8135000659643039,-0.034758620689655184
tlse_spots10,spots,True,ensemble,0.8493788819875776,0.8974046140195209,0.8709677419354839,0.9105178593498949,0.748305313568915,-0.03955011741441106
tlse_spots10,spots,True,mahalanobis,0.8493788819875776,0.7600931677018633,0.8421129432365387,0.8724646140376477,0.4299726411607256,-0.03035167080110901
tlse_spots10,spots,True,knn,0.8493788819875776,0.7331410825199645,0.8470499243570349,0.8860816944024206,0.4693194830090954,-0.039031770045385716
tlse_spots20,spots,True,margin,0.8169920141969831,0.6782386867790594,0.9110384300899428,0.9661488143908422,0.796009141098742,-0.05511038430089943
tlse_spots20,spots,True,ensemble,0.8169920141969831,0.8745563442768411,0.8432466708941028,0.915282181357007,0.701202330116259,-0.07203551046290424
tlse_spots20,spots,True,mahalanobis,0.8169920141969831,0.7882653061224489,0.7942873223582383,0.8736457014211341,0.38735105603962516,-0.07935837906289578
tlse_spots20,spots,True,knn,0.8169920141969831,0.7679680567879326,0.7953495089543616,0.8850375505488157,0.3643470820065987,-0.0896880415944541
tlse_mixed,spots,False,margin,0.8512644188110027,0.822759538598048,0.9061741709355622,0.9367754111620383,0.8183148362712449,-0.030601240226476145
tlse_mixed,spots,False,ensemble,0.8512644188110027,0.9031721384205856,0.873510991035245,0.9088787916001474,0.7518025101594172,-0.03536780056490241
tlse_mixed,spots,False,mahalanobis,0.8512644188110027,0.7384649511978705,0.8477020126164013,0.8718834484830279,0.45674398268587546,-0.024181435866626577
tlse_mixed,spots,False,knn,0.8512644188110027,0.7150621118012422,0.8560570808127812,0.8866139289592059,0.5016582986589326,-0.030556848146424676
tlse_fac10,spots,False,margin,0.8457187222715173,0.9019520851818988,0.8781357599606493,0.9112149532710281,0.7675341009534361,-0.033079193310378785
tlse_fac10,spots,False,ensemble,0.8457187222715173,0.8883096716947648,0.8736421525783493,0.9128480459483082,0.7642778046222202,-0.03920589336995883
tlse_fac10,spots,False,mahalanobis,0.8457187222715173,0.8295252883762201,0.8593394838882203,0.8760529482551143,0.5470419441137995,-0.016713464366893915
tlse_fac10,spots,False,knn,0.8457187222715173,0.8866459627329193,0.8612709532149112,0.8830372779584689,0.6431958138383755,-0.021766324743557663
quenched,quench,True,margin,0.9423247559893523,0.9592945874001775,0.9552549427679501,0.8924731182795699,0.8397249157974794,0.06278182448838021
quenched,quench,True,ensemble,0.9423247559893523,0.9578527062999113,0.952755905511811,0.8925428439092172,0.7908567832826308,0.060213061602593765
quenched,quench,True,mahalanobis,0.9423247559893523,0.8175465838509317,0.9476326142992809,0.8755935422602089,0.5479807239605968,0.072039072039072
quenched,quench,True,knn,0.9423247559893523,0.804569653948536,0.9594706368899917,0.8833746898263027,0.7021080055772853,0.07609594706368894
exotransmit,code,False,margin,0.8684560780834073,0.9039485359361136,0.9014723926380368,0.9107975460122699,0.8049253853492966,-0.00932515337423312
exotransmit,code,False,ensemble,0.8684560780834073,0.9033939662821651,0.8988336402701044,0.90890116635973,0.785489071091211,-0.010067526089625578
exotransmit,code,False,mahalanobis,0.8684560780834073,0.8371783496007098,0.8661897191308956,0.8763910969793323,0.4565676829938039,-0.010201377848436666
exotransmit,code,False,knn,0.8684560780834073,0.8296362023070097,0.8713903743315508,0.8838235294117647,0.5706365666707587,-0.01243315508021392
exomol,opacity,False,margin,0.6677018633540373,0.9576308784383318,0.6739634005096131,0.8928654157980078,0.5989343487884178,-0.2189020152883947
exomol,opacity,False,ensemble,0.6677018633540373,0.9570763087843833,0.6747015876694866,0.8928033375825704,0.621148796401847,-0.21810174991308373
exomol,opacity,False,mahalanobis,0.6677018633540373,0.8509316770186336,0.6823514077163713,0.876303441084463,0.4871476475832671,-0.19395203336809175
exomol,opacity,False,knn,0.6677018633540373,0.8728926353149956,0.680304955527319,0.8829733163913596,0.583217434985296,-0.2026683608640406
compound_spots10_haze3e7,compound,True,margin,0.6543921916592724,0.4648402839396628,0.7532808398950132,0.9825817227392031,0.63503032462305,-0.22930088284418992
compound_spots10_haze3e7,compound,True,ensemble,0.6543921916592724,0.8622448979591837,0.6724980704913815,0.919732441471572,0.5656167729161681,-0.2472343709801904
compound_spots10_haze3e7,compound,True,mahalanobis,0.6543921916592724,0.9236912156166814,0.6508165225744477,0.8781219980787704,0.4641790866169143,-0.22730547550432278
compound_spots10_haze3e7,compound,True,knn,0.6543921916592724,0.8914152617568767,0.6451412218489486,0.883538633818589,0.4275577663671373,-0.23839741196964037
compound_spots20_haze3e7,compound,True,margin,0.6252218278615794,0.3320763087843833,0.7621910487641951,0.9923179692718771,0.6245094152631566,-0.23012692050768202
compound_spots20_haze3e7,compound,True,ensemble,0.6252218278615794,0.8280834072759539,0.6492097508706134,0.9270024109295473,0.5740010604059143,-0.2777926600589339
compound_spots20_haze3e7,compound,True,mahalanobis,0.6252218278615794,0.96972049689441,0.6236989591673339,0.8784170193297495,0.4852533594702023,-0.2547180601624156
compound_spots20_haze3e7,compound,True,knn,0.6252218278615794,0.957187222715173,0.6214368482039397,0.8816917728852839,0.4130095709010084,-0.26025492468134415
absorbers,absorbers,False,margin,0.689773735581189,0.8508207630878438,0.7181593012645027,0.9290835614652587,0.6878135286451619,-0.21092426020075605
absorbers,absorbers,False,ensemble,0.689773735581189,0.8596938775510204,0.7101019223326022,0.9207844149142046,0.6983991473647799,-0.21068249258160243
absorbers,absorbers,False,mahalanobis,0.689773735581189,0.9096051464063887,0.6713815388367272,0.8772100963297159,0.3072400924818778,-0.20582855749298867
absorbers,absorbers,False,knn,0.689773735581189,0.9130434782608695,0.6836734693877551,0.8824101068999028,0.5818602420310783,-0.19873663751214776
absorbers_quenched,absorbers,False,margin,0.7062999112688554,0.8917480035492458,0.7266169154228856,0.9148009950248757,0.69818882934309,-0.18818407960199002
absorbers_quenched,absorbers,False,ensemble,0.7062999112688554,0.9049467613132209,0.7205539894594926,0.9083220982963598,0.7086084809432359,-0.18776810883686723
absorbers_quenched,absorbers,False,mahalanobis,0.7062999112688554,0.8402839396628217,0.6702745512143611,0.8765839493136219,0.27473760655619484,-0.20630939809926085
absorbers_quenched,absorbers,False,knn,0.7062999112688554,0.8245341614906833,0.6889965025558246,0.8837772397094431,0.566737340402921,-0.19478073715361854
white_snr12,noise,True,margin,0.8667923691215617,0.9061668145519077,0.8982864137086903,0.9097919216646266,0.8177286682083549,-0.0115055079559363
white_snr12,noise,True,ensemble,0.8667923691215617,0.9022848269742679,0.8951444376152428,0.9089121081745544,0.7847314271589627,-0.013767670559311607
white_snr12,noise,True,mahalanobis,0.8667923691215617,0.8590283939662822,0.8631375080697223,0.8760490639122014,0.44735390586752455,-0.01291155584247905
white_snr12,noise,True,knn,0.8667923691215617,0.8551464063886424,0.872632944228275,0.8832684824902723,0.5625522131003009,-0.010635538261997368
